run_id,experiment,stage,wmape,mae,rmse,bias,wmape_lead_1_7,wmape_lead_8_14,wmape_customers,wmape_tail,network_wmape,n_cells,n_series,n_cutoffs,clipped_cells,runtime_s,eval_sha,notes
20260806T142933Z,024_blend3_capacity,stage2,0.250794,203.434488,823.203748,-0.017211,0.229653,0.272029,0.242986,0.269882,0.114227,48216,73,51,0,600.700000,1ff06a3088b3d43e,promotion re-run from stage1
20260806T143815Z,023_blend3_edges,stage2,0.252072,204.471085,830.160418,-0.017498,0.230944,0.273294,0.244468,0.270660,0.114577,48216,73,51,0,520.800000,1ff06a3088b3d43e,promotion re-run from stage1
20260806T144633Z,021_blend3_v2,stage2,0.253879,205.937048,838.003393,-0.017458,0.232989,0.274863,0.245966,0.273225,0.117086,48216,73,51,0,496.400000,1ff06a3088b3d43e,promotion re-run from stage1
20260806T150041Z,025_blend3_step,stage2,0.247989,201.159802,810.647082,-0.015585,0.226265,0.269812,0.241241,0.264487,0.112823,48216,73,51,0,602.800000,1ff06a3088b3d43e,"step-switch level in hand head, tau=0.18"
20260806T151334Z,026_blend3_recency,stage2,0.248402,201.494796,817.028135,-0.015620,0.226202,0.270703,0.241494,0.265291,0.112690,48216,73,51,0,622.000000,1ff06a3088b3d43e,recency half-life 1y in hand factors + GBM row weights
20260806T152552Z,027_blend3_xmas_recency,stage2,0.247777,200.987662,810.448345,-0.016101,0.226071,0.269581,0.241001,0.264344,0.112534,48216,73,51,0,612.600000,1ff06a3088b3d43e,recency weights on year-boundary responses only
20260806T153808Z,028_blend3_age,stage2,0.247535,200.791213,812.124131,-0.017358,0.226550,0.268615,0.240293,0.265241,0.112372,48216,73,51,0,630.900000,1ff06a3088b3d43e,age_days + active_60 GBM features
20260806T155944Z,028_blend3_age,stage3,0.238502,178.577175,547.878695,-0.017567,0.223196,0.253748,0.241851,0.187928,0.088598,92022,104,72,0,1240.600000,1ff06a3088b3d43e,promotion re-run from stage2
20260806T161924Z,027_blend3_xmas_recency,stage3,0.237190,177.594858,542.510104,-0.020233,0.222004,0.252317,0.240501,0.187189,0.088396,92022,104,72,0,1177.600000,1ff06a3088b3d43e,promotion re-run from stage2
20260806T163902Z,025_blend3_step,stage3,0.237247,177.637463,542.292238,-0.020256,0.222097,0.252338,0.240531,0.187644,0.088368,92022,104,72,0,1176.900000,1ff06a3088b3d43e,promotion re-run from stage2
20260806T170156Z,029_blend3_bursty,stage3,0.236039,176.732845,537.576006,-0.023430,0.220957,0.251062,0.239273,0.187188,0.088267,92022,104,72,0,1182.900000,1ff06a3088b3d43e,burstiness-aware per-series blend weights
20260806T172409Z,030_blend3_decsplit,stage3,0.236062,176.750341,537.575618,-0.023423,0.221027,0.251038,0.239294,0.187252,0.088264,92022,104,72,0,1195.300000,1ff06a3088b3d43e,dec_wind/dec_lull multiplier split
20260806T180039Z,031_blend3_dualref,stage3,0.234647,175.690495,533.171059,-0.025463,0.220511,0.248727,0.237773,0.187423,0.088679,92022,104,72,0,2101.000000,1ff06a3088b3d43e,GBM refs Mon+Thu
20260806T185323Z,032_blend3_rounds,stage3,0.233624,174.924619,531.488780,-0.025559,0.219558,0.247635,0.236702,0.187132,0.088164,92022,104,72,0,3098.900000,1ff06a3088b3d43e,450 rounds on dual-ref data
