core_account_id,series_id,rank,n_ref,name,first_date
400511,g3_tail,139,,,
374694,g3_tail,140,,,
403244,g3_tail,141,,,
384092,g3_tail,142,,,
349531,g3_tail,143,,,
392533,g3_tail,144,,,
368916,g3_tail,145,,,
398046,g3_tail,146,,,
369042,g3_tail,147,,,
382039,g3_tail,148,,,
386850,g3_tail,149,,,
27427,g3_tail,150,,,
402451,g3_tail,151,,,
399952,g3_tail,152,,,
401967,g3_tail,153,,,
397985,g3_tail,154,,,
398533,g3_tail,155,,,
301751,g3_tail,156,,,
399417,g3_tail,157,,,
399867,g3_tail,158,,,
403270,g3_tail,159,,,
399910,g3_tail,160,,,
372023,g3_tail,161,,,
403320,g3_tail,162,,,
357076,g3_tail,163,,,
400759,g3_tail,164,,,
372943,g3_tail,165,,,
400743,g3_tail,166,,,
394839,g3_tail,167,,,
401948,g3_tail,168,,,
240834,g3_tail,169,,,
392532,g3_tail,170,,,
385669,g4_tail,171,,,
398331,g4_tail,172,,,
398135,g4_tail,173,,,
404431,g4_tail,174,,,
397011,g4_tail,175,,,
401520,g4_tail,176,,,
401395,g4_tail,177,,,
390303,g4_tail,178,,,
399305,g4_tail,179,,,
340758,g4_tail,180,,,
361464,g4_tail,181,,,
400736,g4_tail,182,,,
383961,g4_tail,183,,,
401172,g4_tail,184,,,
402770,g4_tail,185,,,
400620,g4_tail,186,,,
390834,g4_tail,187,,,
346321,g4_tail,188,,,
246556,g4_tail,189,,,
405484,g4_tail,190,,,
109465,g4_tail,191,,,
403158,g4_tail,192,,,
402547,g4_tail,193,,,
381750,g4_tail,194,,,
48257,g4_tail,195,,,
401813,g4_tail,196,,,
404962,g4_tail,197,,,
315218,g4_tail,198,,,
400878,g4_tail,199,,,
398079,g4_tail,200,,,
400705,g4_tail,201,,,
404221,g4_tail,202,,,
405191,g4_tail,203,,,
400688,g4_tail,204,,,
389283,g4_tail,205,,,
400422,g4_tail,206,,,
394952,g4_tail,207,,,
330767,g4_tail,208,,,
397658,g4_tail,209,,,
404231,g4_tail,210,,,
404609,g4_tail,211,,,
385880,g4_tail,212,,,
390034,g4_tail,213,,,
404888,g4_tail,214,,,
401738,g4_tail,215,,,
368333,g4_tail,216,,,
401805,g4_tail,217,,,
393338,g4_tail,218,,,
401966,g4_tail,219,,,
369110,g4_tail,220,,,
402607,g4_tail,221,,,
401313,g4_tail,222,,,
399205,g4_tail,223,,,
400926,g4_tail,224,,,
7911,g4_tail,225,,,
399483,g4_tail,226,,,
278753,g4_tail,227,,,
400421,g4_tail,228,,,
404429,g4_tail,229,,,
399489,g4_tail,230,,,
399072,g4_tail,231,,,
383642,g4_tail,232,,,
399009,g4_tail,233,,,
402608,g4_tail,234,,,
404817,g4_tail,235,,,
400951,g4_tail,236,,,
397423,g4_tail,237,,,
400770,g4_tail,238,,,
287902,g4_tail,239,,,
4,g4_tail,240,,,
65045,g4_tail,241,,,
404366,g4_tail,242,,,
383211,g4_tail,243,,,
326784,g4_tail,244,,,
400526,g4_tail,245,,,
113750,g4_tail,246,,,
399839,g4_tail,247,,,
185654,g4_tail,248,,,
372244,g4_tail,249,,,
242463,g4_tail,250,,,
404517,g4_tail,251,,,
403400,g4_tail,252,,,
54898,g4_tail,253,,,
403462,g4_tail,254,,,
390048,g4_tail,255,,,
395000,g4_tail,256,,,
362765,g4_tail,257,,,
340853,g4_tail,258,,,
286381,g4_tail,259,,,
368130,g4_tail,260,,,
370723,g4_tail,261,,,
402509,g4_tail,262,,,
283,g4_tail,263,,,
400380,g4_tail,264,,,
95584,g4_tail,265,,,
405656,g4_tail,266,,,
197594,g4_tail,267,,,
191704,g4_tail,268,,,
59604,g4_tail,269,,,
404964,g4_tail,270,,,
